month,utm_source,utm_campaign,device_type,visitor_type,sessions,sessions_reached_product,sessions_reached_cart,sessions_reached_shipping,sessions_reached_billing,orders,revenue_usd
2014-02-01,bsearch,brand,mobile,Returning,20,9,2,2,1,1,49.99
2014-02-01,bsearch,nonbrand,desktop,New,1358,672,279,190,149,101,6670.66
2014-02-01,bsearch,nonbrand,mobile,New,288,118,33,21,14,11,765.84
2014-02-01,gsearch,brand,desktop,New,258,159,69,51,45,26,1673.66
2014-02-01,gsearch,brand,desktop,Returning,401,295,118,82,67,42,2471.50
2014-02-01,gsearch,brand,mobile,New,188,80,22,16,13,8,555.88
2014-02-01,gsearch,brand,mobile,Returning,243,118,33,24,17,8,531.90
2014-02-01,gsearch,nonbrand,desktop,New,5393,2932,1222,848,687,454,29383.97
2014-02-01,gsearch,nonbrand,mobile,New,2830,1469,419,259,181,102,6550.68
2014-02-01,socialbook,pilot,desktop,New,226,67,20,14,12,8,431.91
2014-02-01,socialbook,pilot,mobile,New,2011,210,76,43,31,16,1103.78
2014-03-01,(none),(none),desktop,New,651,401,142,95,82,64,4123.13
2014-03-01,(none),(none),desktop,Returning,1206,844,337,235,190,131,8624.17
2014-03-01,(none),(none),mobile,New,399,180,50,31,22,16,979.80
2014-03-01,(none),(none),mobile,Returning,733,398,103,59,40,17,1021.78
2014-03-01,bsearch,brand,desktop,New,83,55,27,23,23,17,1049.79
2014-03-01,bsearch,brand,desktop,Returning,184,128,55,34,32,18,1143.76
2014-03-01,bsearch,brand,mobile,New,12,4,1,0,0,0,NULL
2014-03-01,bsearch,brand,mobile,Returning,21,15,6,5,4,2,109.98
2014-03-01,bsearch,nonbrand,desktop,New,1362,666,272,185,161,114,7514.45
2014-03-01,bsearch,nonbrand,mobile,New,264,117,33,23,13,9,541.89
2014-03-01,gsearch,brand,desktop,New,243,149,63,41,33,26,1657.65
2014-03-01,gsearch,brand,desktop,Returning,485,338,140,100,81,54,3417.28
2014-03-01,gsearch,brand,mobile,New,167,76,22,13,6,2,159.97
2014-03-01,gsearch,brand,mobile,Returning,290,143,35,25,17,13,813.83
2014-03-01,gsearch,nonbrand,desktop,New,5445,2899,1194,836,699,470,29863.74
2014-03-01,gsearch,nonbrand,mobile,New,2864,1523,457,272,197,97,5964.77
2014-03-01,socialbook,pilot,desktop,New,128,37,15,7,6,2,185.96
2014-03-01,socialbook,pilot,mobile,New,1112,126,38,20,17,12,827.82
2014-04-01,(none),(none),desktop,New,771,488,203,146,116,76,4667.02
2014-04-01,(none),(none),desktop,Returning,1303,956,403,288,238,148,9464.01
2014-04-01,(none),(none),mobile,New,485,234,78,47,29,14,943.79
2014-04-01,(none),(none),mobile,Returning,846,413,130,81,62,30,1937.59
2014-04-01,bsearch,brand,desktop,New,99,67,29,20,17,10,591.87
2014-04-01,bsearch,brand,desktop,Returning,165,111,47,34,28,20,1409.71
2014-04-01,bsearch,brand,mobile,New,17,10,2,0,0,0,NULL
2014-04-01,bsearch,brand,mobile,Returning,22,8,2,1,0,0,NULL
2014-04-01,bsearch,nonbrand,desktop,New,1678,824,322,221,177,111,6908.54
2014-04-01,bsearch,nonbrand,mobile,New,328,134,34,19,15,12,755.84
2014-04-01,gsearch,brand,desktop,New,287,184,71,46,38,21,1249.75
2014-04-01,gsearch,brand,desktop,Returning,486,346,160,122,100,74,4737.00
2014-04-01,gsearch,brand,mobile,New,199,83,26,17,12,6,301.94
2014-04-01,gsearch,brand,mobile,Returning,357,184,56,34,23,15,903.82
2014-04-01,gsearch,nonbrand,desktop,New,6730,3758,1513,1068,888,559,35386.56
2014-04-01,gsearch,nonbrand,mobile,New,3583,1944,578,332,234,145,9527.98
2014-05-01,(none),(none),desktop,New,865,522,238,172,140,92,5764.78
2014-05-01,(none),(none),desktop,Returning,1359,953,397,267,221,144,9218.10
2014-05-01,(none),(none),mobile,New,525,240,78,46,29,18,1201.75
2014-05-01,(none),(none),mobile,Returning,817,394,121,67,48,28,1793.63
2014-05-01,bsearch,brand,desktop,New,105,64,31,22,18,14,961.80
2014-05-01,bsearch,brand,desktop,Returning,187,130,48,31,27,12,795.82
2014-05-01,bsearch,brand,mobile,New,16,11,0,0,0,0,NULL
2014-05-01,bsearch,brand,mobile,Returning,23,9,2,2,2,2,125.97
2014-05-01,bsearch,nonbrand,desktop,New,1695,874,354,261,212,136,8578.20
2014-05-01,bsearch,nonbrand,mobile,New,391,175,52,31,22,12,735.84
2014-05-01,gsearch,brand,desktop,New,300,199,79,52,44,31,2077.56
2014-05-01,gsearch,brand,desktop,Returning,505,344,144,110,88,58,3983.18
2014-05-01,gsearch,brand,mobile,New,207,99,35,24,14,10,635.88
2014-05-01,gsearch,brand,mobile,Returning,371,186,50,28,16,6,347.92
2014-05-01,gsearch,nonbrand,desktop,New,6821,4006,1645,1157,975,648,42347.05
2014-05-01,gsearch,nonbrand,mobile,New,3880,2057,616,394,287,157,10341.80
2014-06-01,(none),(none),desktop,New,844,528,222,150,129,73,4563.05
2014-06-01,(none),(none),desktop,Returning,1282,893,357,243,198,133,8490.20
2014-06-01,(none),(none),mobile,New,521,227,66,42,27,20,1285.74
2014-06-01,(none),(none),mobile,Returning,820,416,132,80,54,27,1681.65
2014-06-01,bsearch,brand,desktop,New,105,61,21,11,11,4,335.92
2014-06-01,bsearch,brand,desktop,Returning,184,133,62,45,34,24,1449.69
2014-06-01,bsearch,brand,mobile,New,15,10,3,2,1,0,NULL
2014-06-01,bsearch,brand,mobile,Returning,29,18,5,2,2,0,NULL
2014-06-01,bsearch,nonbrand,desktop,New,1751,932,380,272,227,147,9230.08
2014-06-01,bsearch,nonbrand,mobile,New,300,134,32,21,17,9,659.87
2014-06-01,gsearch,brand,desktop,New,309,178,70,54,47,30,1911.60
2014-06-01,gsearch,brand,desktop,Returning,526,366,133,83,74,55,3685.24
2014-06-01,gsearch,brand,mobile,New,213,87,25,14,11,6,411.91
2014-06-01,gsearch,brand,mobile,Returning,376,196,53,30,24,12,861.82
2014-06-01,gsearch,nonbrand,desktop,New,6753,3907,1536,1055,871,566,36994.25
2014-06-01,gsearch,nonbrand,mobile,New,3674,1920,554,328,233,133,8516.22
2014-07-01,(none),(none),desktop,New,948,590,227,168,128,81,5018.94
2014-07-01,(none),(none),desktop,Returning,1533,1060,399,266,227,147,9140.05
2014-07-01,(none),(none),mobile,New,566,254,76,46,30,16,1005.80
2014-07-01,(none),(none),mobile,Returning,865,449,141,81,53,30,1889.61
2014-07-01,bsearch,brand,desktop,New,110,66,23,18,17,9,575.88
2014-07-01,bsearch,brand,desktop,Returning,208,143,49,36,29,19,1263.73
2014-07-01,bsearch,brand,mobile,New,20,12,3,3,2,2,145.97
2014-07-01,bsearch,brand,mobile,Returning,24,11,5,4,3,3,255.95
2014-07-01,bsearch,nonbrand,desktop,New,1809,942,364,246,202,119,7922.35
2014-07-01,bsearch,nonbrand,mobile,New,319,140,38,19,10,3,145.97
2014-07-01,gsearch,brand,desktop,New,332,208,85,61,51,30,1929.59
2014-07-01,gsearch,brand,desktop,Returning,570,402,153,100,87,56,3525.26
2014-07-01,gsearch,brand,mobile,New,233,93,27,18,12,8,567.88
2014-07-01,gsearch,brand,mobile,Returning,375,192,53,40,27,16,1123.76
2014-07-01,gsearch,nonbrand,desktop,New,7250,4198,1663,1160,962,607,39675.69
2014-07-01,gsearch,nonbrand,mobile,New,3877,2074,591,339,239,137,8826.19
2014-08-01,(none),(none),desktop,New,916,561,226,166,141,81,5230.90
2014-08-01,(none),(none),desktop,Returning,1480,1013,416,294,234,147,9124.08
2014-08-01,(none),(none),mobile,New,570,290,92,54,38,19,1137.76
2014-08-01,(none),(none),mobile,Returning,845,448,117,70,47,20,1329.73
2014-08-01,bsearch,brand,desktop,New,115,72,23,19,17,8,527.89
2014-08-01,bsearch,brand,desktop,Returning,175,115,48,33,27,16,1147.76
2014-08-01,bsearch,brand,mobile,New,17,6,2,1,0,0,NULL
2014-08-01,bsearch,brand,mobile,Returning,32,16,1,1,1,0,NULL
2014-08-01,bsearch,nonbrand,desktop,New,1678,928,372,256,204,137,8808.10
2014-08-01,bsearch,nonbrand,mobile,New,341,138,39,22,17,9,611.88
2014-08-01,gsearch,brand,desktop,New,333,202,88,51,44,34,2243.52
2014-08-01,gsearch,brand,desktop,Returning,578,405,156,116,101,64,4251.09
2014-08-01,gsearch,brand,mobile,New,229,97,18,10,7,5,289.94
2014-08-01,gsearch,brand,mobile,Returning,409,228,83,47,34,19,1071.78
2014-08-01,gsearch,nonbrand,desktop,New,6822,4165,1691,1170,963,629,40427.42
2014-08-01,gsearch,nonbrand,mobile,New,3631,1974,567,355,239,127,7912.34
2014-08-01,socialbook,desktop_targeted,desktop,New,419,116,52,31,22,14,927.81
2014-09-01,(none),(none),desktop,New,984,585,243,169,136,91,6006.74
2014-09-01,(none),(none),desktop,Returning,1549,1095,426,294,245,159,10465.76
2014-09-01,(none),(none),mobile,New,600,273,77,45,33,20,1273.74
2014-09-01,(none),(none),mobile,Returning,946,473,134,80,54,36,2263.55
2014-09-01,bsearch,brand,desktop,New,126,75,31,20,15,9,489.90
2014-09-01,bsearch,brand,desktop,Returning,216,163,65,47,32,23,1527.67
2014-09-01,bsearch,brand,mobile,New,19,12,7,4,2,1,49.99
2014-09-01,bsearch,brand,mobile,Returning,26,8,3,3,2,2,145.97
2014-09-01,bsearch,nonbrand,desktop,New,1757,972,395,289,240,159,10421.75
2014-09-01,bsearch,nonbrand,mobile,New,313,140,38,18,9,7,435.91
2014-09-01,gsearch,brand,desktop,New,346,211,77,54,46,33,2081.55
2014-09-01,gsearch,brand,desktop,Returning,584,406,139,105,94,59,3851.18
2014-09-01,gsearch,brand,mobile,New,245,108,32,23,14,6,389.93
2014-09-01,gsearch,brand,mobile,Returning,391,196,60,35,22,10,547.89
2014-09-01,gsearch,nonbrand,desktop,New,6830,4179,1698,1184,976,631,40469.45
2014-09-01,gsearch,nonbrand,mobile,New,3739,1979,529,303,223,129,8668.17
2014-09-01,socialbook,desktop_targeted,desktop,New,846,253,108,81,71,49,3143.34
2014-10-01,(none),(none),desktop,New,1090,694,265,198,168,110,7072.49
2014-10-01,(none),(none),desktop,Returning,1702,1211,484,343,288,190,12141.44
2014-10-01,(none),(none),mobile,New,670,305,94,49,32,21,1323.73
2014-10-01,(none),(none),mobile,Returning,1068,529,163,103,76,39,2399.50
2014-10-01,bsearch,brand,desktop,New,143,86,34,26,22,10,727.85
2014-10-01,bsearch,brand,desktop,Returning,234,162,71,48,41,23,1605.67
2014-10-01,bsearch,brand,mobile,New,24,15,7,4,3,1,49.99
2014-10-01,bsearch,brand,mobile,Returning,39,11,4,4,4,1,59.99
2014-10-01,bsearch,nonbrand,desktop,New,1843,1055,445,316,276,180,11427.55
2014-10-01,bsearch,nonbrand,mobile,New,353,154,53,32,26,14,813.82
2014-10-01,gsearch,brand,desktop,New,410,274,114,77,60,40,2507.49
2014-10-01,gsearch,brand,desktop,Returning,637,442,183,145,121,84,5460.86
2014-10-01,gsearch,brand,mobile,New,264,110,34,20,17,10,613.87
2014-10-01,gsearch,brand,mobile,Returning,460,235,66,43,32,18,1261.74
2014-10-01,gsearch,nonbrand,desktop,New,7477,4600,1807,1290,1083,686,44128.61
2014-10-01,gsearch,nonbrand,mobile,New,3980,2062,610,346,239,127,8480.18
2014-10-01,socialbook,desktop_targeted,desktop,New,1151,400,153,108,88,55,3831.20
2014-11-01,(none),(none),desktop,New,938,612,258,187,149,108,7146.46
2014-11-01,(none),(none),desktop,Returning,1653,1150,449,313,257,174,11055.67
2014-11-01,(none),(none),mobile,New,821,380,119,68,49,26,1629.66
2014-11-01,(none),(none),mobile,Returning,1042,526,148,93,68,49,3023.37
2014-11-01,bsearch,brand,desktop,New,169,113,37,30,23,17,1031.78
2014-11-01,bsearch,brand,desktop,Returning,216,147,57,40,37,27,1779.63
2014-11-01,bsearch,brand,mobile,New,27,10,4,2,0,0,NULL
2014-11-01,bsearch,brand,mobile,Returning,25,11,3,2,1,1,49.99
2014-11-01,bsearch,nonbrand,desktop,New,2463,1411,566,407,336,235,15176.80
2014-11-01,bsearch,nonbrand,mobile,New,415,192,64,39,29,11,679.86
2014-11-01,gsearch,brand,desktop,New,497,312,131,88,79,51,3111.35
2014-11-01,gsearch,brand,desktop,Returning,636,440,170,116,103,70,4305.10
2014-11-01,gsearch,brand,mobile,New,333,160,55,31,19,11,595.89
2014-11-01,gsearch,brand,mobile,Returning,427,213,48,31,21,12,843.83
2014-11-01,gsearch,nonbrand,desktop,New,9650,6134,2508,1774,1481,973,63758.52
2014-11-01,gsearch,nonbrand,mobile,New,4286,2193,627,374,259,138,9042.09
2014-11-01,socialbook,desktop_targeted,desktop,New,1527,472,205,146,120,82,4932.98
2014-12-01,(none),(none),desktop,New,1271,777,315,221,176,114,7116.51
2014-12-01,(none),(none),desktop,Returning,2217,1555,610,430,353,244,14826.80
2014-12-01,(none),(none),mobile,New,1046,464,135,85,62,29,1803.61
2014-12-01,(none),(none),mobile,Returning,1319,644,180,107,75,33,2025.58
2014-12-01,bsearch,brand,desktop,New,222,135,64,40,33,24,1585.66
2014-12-01,bsearch,brand,desktop,Returning,295,203,91,66,59,38,2293.50
2014-12-01,bsearch,brand,mobile,New,35,20,3,2,2,1,49.99
2014-12-01,bsearch,brand,mobile,Returning,46,20,10,3,1,0,NULL
2014-12-01,bsearch,nonbrand,desktop,New,2556,1454,612,435,354,224,13497.13
2014-12-01,bsearch,nonbrand,mobile,New,491,213,56,38,30,19,1187.74
2014-12-01,gsearch,brand,desktop,New,619,407,166,110,92,54,3481.25
2014-12-01,gsearch,brand,desktop,Returning,834,573,231,155,134,93,5852.75
2014-12-01,gsearch,brand,mobile,New,430,205,61,37,23,8,481.90
2014-12-01,gsearch,brand,mobile,Returning,555,287,99,56,34,21,1265.72
2014-12-01,gsearch,nonbrand,desktop,New,11291,7214,3086,2136,1779,1128,71318.74
2014-12-01,gsearch,nonbrand,mobile,New,4848,2579,798,470,328,196,12355.37
2014-12-01,socialbook,desktop_targeted,desktop,New,1647,490,213,155,135,88,5680.77
2015-01-01,(none),(none),desktop,New,1251,752,324,239,197,140,8796.11
2015-01-01,(none),(none),desktop,Returning,2557,1805,752,518,428,275,17430.25
2015-01-01,(none),(none),mobile,New,749,337,99,57,40,24,1545.67
2015-01-01,(none),(none),mobile,Returning,1412,691,211,128,88,46,2875.38
2015-01-01,bsearch,brand,desktop,New,145,85,42,27,23,16,1053.77
2015-01-01,bsearch,brand,desktop,Returning,308,216,92,65,51,30,1903.58
2015-01-01,bsearch,brand,mobile,New,25,14,5,1,0,0,NULL
2015-01-01,bsearch,brand,mobile,Returning,53,25,8,6,2,0,NULL
2015-01-01,bsearch,nonbrand,desktop,New,2380,1377,561,406,330,209,13155.15
2015-01-01,bsearch,nonbrand,mobile,New,369,157,53,33,28,11,851.81
2015-01-01,gsearch,brand,desktop,New,451,282,114,90,73,47,3101.34
2015-01-01,gsearch,brand,desktop,Returning,976,706,283,196,165,119,7026.47
2015-01-01,gsearch,brand,mobile,New,303,131,42,25,15,6,319.94
2015-01-01,gsearch,brand,mobile,Returning,632,311,98,53,37,20,1349.71
2015-01-01,gsearch,nonbrand,desktop,New,9596,6178,2570,1822,1508,999,63262.42
2015-01-01,gsearch,nonbrand,mobile,New,4130,2151,641,382,269,157,9619.92
2015-02-01,(none),(none),desktop,New,1266,764,323,227,190,128,8288.24
2015-02-01,(none),(none),desktop,Returning,2081,1489,657,445,357,228,14510.98
2015-02-01,(none),(none),mobile,New,773,341,96,53,41,24,1539.68
2015-02-01,(none),(none),mobile,Returning,1284,676,209,132,94,54,3599.25
2015-02-01,bsearch,brand,desktop,New,160,94,44,31,22,18,1131.75
2015-02-01,bsearch,brand,desktop,Returning,291,201,99,72,61,44,2603.45
2015-02-01,bsearch,brand,mobile,New,23,9,3,2,2,1,59.99
2015-02-01,bsearch,brand,mobile,Returning,35,16,1,0,0,0,NULL
2015-02-01,bsearch,nonbrand,desktop,New,2387,1407,615,415,346,217,13449.18
2015-02-01,bsearch,nonbrand,mobile,New,288,128,42,29,19,13,917.79
2015-02-01,gsearch,brand,desktop,New,463,300,140,97,76,50,3167.34
2015-02-01,gsearch,brand,desktop,Returning,825,582,267,197,171,108,6806.56
2015-02-01,gsearch,brand,mobile,New,312,131,31,13,7,4,279.94
2015-02-01,gsearch,brand,mobile,Returning,556,286,106,60,44,19,1179.75
2015-02-01,gsearch,nonbrand,desktop,New,9130,5868,2620,1843,1526,1007,62239.00
2015-02-01,gsearch,nonbrand,mobile,New,3904,2081,658,372,277,152,9360.06
2015-03-01,(none),(none),desktop,New,922,568,245,165,144,92,6030.73
2015-03-01,(none),(none),desktop,Returning,1291,894,403,276,228,142,9006.07
2015-03-01,(none),(none),mobile,New,515,240,64,38,30,14,799.82
2015-03-01,(none),(none),mobile,Returning,815,422,119,75,49,25,1487.66
2015-03-01,bsearch,brand,desktop,New,115,80,34,27,20,10,709.85
2015-03-01,bsearch,brand,desktop,Returning,169,117,55,35,26,18,1221.74
2015-03-01,bsearch,brand,mobile,New,21,8,2,2,2,0,NULL
2015-03-01,bsearch,brand,mobile,Returning,24,14,4,1,0,0,NULL
2015-03-01,bsearch,nonbrand,desktop,New,1204,734,303,225,179,127,7482.38
2015-03-01,bsearch,nonbrand,mobile,New,209,86,26,16,11,4,239.95
2015-03-01,gsearch,brand,desktop,New,316,191,84,63,56,33,2199.54
2015-03-01,gsearch,brand,desktop,Returning,532,380,178,112,87,56,3501.24
2015-03-01,gsearch,brand,mobile,New,222,87,18,10,5,3,155.97
2015-03-01,gsearch,brand,mobile,Returning,346,174,56,36,26,20,1193.75
2015-03-01,gsearch,nonbrand,desktop,New,5926,3779,1589,1117,923,627,39899.46
2015-03-01,gsearch,nonbrand,mobile,New,2456,1247,417,239,162,83,5022.91
